case_name,t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG1_StartFuel_kg,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG2_StartFuel_kg,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG3_StartFuel_kg,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,DG4_StartFuel_kg,StartFuel_kg,FuelWithStart_kg,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
case1_astar_fixed,0,0.5,15.143691467703498,0.0,1.1763085322999993,0.7558746552842499,0.0,0,0,0.0,0.0,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,290.0,1760.2563356,8.5,9.18,0.5800000000000018
case1_astar_fixed,1,0.5,16.056410894113615,0.0,0.0,0.7558746552842499,0.0,0,0,0.0,0.0,8.9164108941,1,0,1607.2304725570104,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1446.8523831035052,8.5,8.9164108941,0.8435891059000014
case1_astar_fixed,2,0.5,15.7806003463593,0.0,0.09221013335740424,0.7602546366187266,8.732810479757404,1,1,1574.6268840214427,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1600.5505888357213,8.5,8.732810479757404,1.0271895202425974
case1_astar_fixed,3,0.5,15.247324269265487,0.0,0.0,0.7602546366187266,8.107324269300001,1,0,1463.5536322891703,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1375.013962969585,8.5,8.107324269300001,1.6526757307000004
case1_astar_fixed,4,0.5,14.734740885229465,0.0,0.0,0.7602546366187266,8.854740887838428,1,0,1596.2791709770954,0.0,0.0,0,0,0.0,0.0,5.88,1,1,1062.7246812,120.0,-2.6384270874582403e-09,0,0,0.0,0.0,120.0,1449.5019260885479,8.5,8.854740887838428,2.1652591147999996
case1_astar_fixed,5,0.5,14.481637547232095,0.2016375472000007,0.0,0.749860948618722,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,7.14,1,1,1286.47429365,120.0,120.0,1406.47429365,8.2983624528,7.14,2.418362452800001
case1_astar_fixed,6,0.5,14.598469724796555,0.31846972475771995,0.0,0.7334449834250178,1.218751845511922e-09,0,0,2.195928458808941e-07,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,7.139999998823528,1,0,1286.474293435234,0.0,0.0,1286.4742936524135,8.181530275242281,7.14,2.301530275200001
case1_astar_fixed,7,0.5,15.243245586045594,0.0,0.0,0.7334449834250178,8.103245586,1,1,1462.829343552915,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1544.6518186014573,8.5,8.103245586,1.6567544140000017
case1_astar_fixed,8,0.5,15.707225823239055,0.0,0.0,0.7334449834250178,8.567225823200001,1,0,1545.2225167735178,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,0.0,0,0,0.0,0.0,120.0,1535.8484052117587,8.5,8.567225823200001,1.1927741768000004
case1_astar_fixed,9,0.5,15.670505813588145,0.0,0.0,0.7334449834250178,8.530505813600001,1,0,1538.701812077359,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1412.5880528636794,8.5,8.530505813600001,1.2294941864000002
