case_name,t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
case2_ga_twostage,0,0.5,14.385555211027285,0.0,0.0,0.7,7.5600000000000005,1,1,1366.3603044,0.0,0,0,0.0,1.8,1,1,359.9708625,5.0255552109999995,1,1,908.4506491138698,5.0,7.5600000000000005,5.014444789000001
case2_ga_twostage,1,0.5,15.656799845366816,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.0567998453999996,1,0,573.6795935335102,5.0,7.5600000000000005,3.7432001546
case2_ga_twostage,2,0.5,15.392728357136589,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.792728357099999,1,0,528.77635546161,5.0,7.5600000000000005,4.007271642900001
case2_ga_twostage,3,0.5,15.483998541283519,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.8839985412999996,1,0,544.2961180697673,5.0,7.5600000000000005,3.9160014587000003
case2_ga_twostage,4,0.5,15.373388561765752,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.7733885618,1,0,525.487778424353,5.0,7.5600000000000005,4.0266114382
case2_ga_twostage,5,0.5,14.973065016111047,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.373065016099999,1,0,457.4159710737132,5.0,7.5600000000000005,4.426934983900001
case2_ga_twostage,6,0.5,15.537082871121804,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.9370828711000003,1,0,553.3226824832217,5.0,7.5600000000000005,3.8629171288999995
case2_ga_twostage,7,0.5,15.61486475664228,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.014864756599999,1,0,566.54886810732,5.0,7.5600000000000005,3.785135243400001
case2_ga_twostage,8,0.5,16.123895942571764,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,3.5238959426000003,1,0,653.1055375839305,5.0,7.5600000000000005,3.2761040573999995
case2_ga_twostage,9,0.5,15.511859718764901,0.0,0.0,0.7,7.5600000000000005,1,0,1366.3603044,0.0,0,0,0.0,5.04,1,0,910.9068696,2.9118597187999997,1,0,549.0336877873459,5.0,7.5600000000000005,3.8881402812
