single_P_req_MW,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
5.0,True,Optimal,1215.9655945000002,975.9655945000002,240.0,1215.9655945000004,2,DG3+DG4,8.249999999999998,0,0.0,0,0.0,1,2.8999999999999964,1,2.1000000000000036
5.25,True,Optimal,1258.476088875,1018.476088875,240.0,1258.4760888750002,2,DG3+DG4,7.999999999999999,0,0.0,0,0.0,1,3.1499999999999977,1,2.1000000000000023
5.5,True,Optimal,1300.98658325,1060.98658325,240.0,1300.98658325,2,DG3+DG4,7.749999999999998,0,0.0,0,0.0,1,3.4,1,2.1
5.75,True,Optimal,1343.497077625,1103.497077625,240.0,1343.497077625,2,DG3+DG4,7.499999999999998,0,0.0,0,0.0,1,3.65,1,2.1
6.0,True,Optimal,1386.007572,1146.007572,240.0,1386.007572,2,DG3+DG4,7.249999999999998,0,0.0,0,0.0,1,3.9,1,2.1
6.25,True,Optimal,1428.518066375,1188.518066375,240.0,1428.518066375,2,DG3+DG4,6.999999999999998,0,0.0,0,0.0,1,4.15,1,2.1
6.5,True,Optimal,1471.0285607500002,1231.0285607500002,240.0,1471.0285607500002,2,DG3+DG4,6.749999999999998,0,0.0,0,0.0,1,4.4,1,2.1
6.75,True,Optimal,1513.539055125,1273.539055125,240.0,1513.539055125,2,DG3+DG4,6.499999999999998,0,0.0,0,0.0,1,4.65,1,2.1
7.0,True,Optimal,1556.0495495,1316.0495495,240.0,1556.0495495,2,DG3+DG4,6.249999999999998,0,0.0,0,0.0,1,4.9,1,2.1
7.25,True,Optimal,1598.5600438750002,1358.5600438750002,240.0,1598.5600438750002,2,DG3+DG4,5.999999999999998,0,0.0,0,0.0,1,5.15,1,2.1
7.5,True,Optimal,1641.07053825,1401.07053825,240.0,1641.07053825,2,DG3+DG4,5.749999999999998,0,0.0,0,0.0,1,5.4,1,2.1
7.75,True,Optimal,1683.5810326250003,1443.5810326250003,240.0,1683.5810326250003,2,DG3+DG4,5.499999999999998,0,0.0,0,0.0,1,5.65,1,2.1
8.0,True,Optimal,1726.091527,1486.091527,240.0,1726.091527,2,DG3+DG4,5.249999999999999,0,0.0,0,0.0,1,5.88,1,2.12
8.25,True,Optimal,1768.602021375,1528.602021375,240.0,1768.602021375,2,DG3+DG4,4.999999999999999,0,0.0,0,0.0,1,5.88,1,2.37
8.5,True,Optimal,1811.11251575,1571.11251575,240.0,1811.11251575,2,DG3+DG4,4.749999999999999,0,0.0,0,0.0,1,5.88,1,2.62
8.75,True,Optimal,1853.623010125,1613.623010125,240.0,1853.623010125,2,DG3+DG4,4.499999999999999,0,0.0,0,0.0,1,5.88,1,2.87
9.0,True,Optimal,1896.1335045,1656.1335045,240.0,1896.1335045,2,DG3+DG4,4.249999999999999,0,0.0,0,0.0,1,3.12,1,5.88
9.25,True,Optimal,1938.643998875,1698.643998875,240.0,1938.643998875,2,DG3+DG4,3.999999999999999,0,0.0,0,0.0,1,5.88,1,3.37
9.5,True,Optimal,1981.15449325,1741.15449325,240.0,1981.15449325,2,DG3+DG4,3.749999999999999,0,0.0,0,0.0,1,5.88,1,3.62
9.75,True,Optimal,2023.664987625,1783.664987625,240.0,2023.664987625,2,DG3+DG4,3.499999999999999,0,0.0,0,0.0,1,5.88,1,3.87
10.0,True,Optimal,2066.175482,1826.175482,240.0,2066.175482,2,DG3+DG4,3.249999999999999,0,0.0,0,0.0,1,5.88,1,4.12
10.25,True,Optimal,2108.685976375,1868.685976375,240.0,2108.685976375,2,DG3+DG4,2.999999999999999,0,0.0,0,0.0,1,5.88,1,4.37
