idx,route_P_req_MW,t_star,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
0,14.385555211027285,34,True,Optimal,69675.18993423987,69265.18993423987,410.0,69675.18993423991,2,DG1+DG4,2.514444788999999,1,8.505555211,0,0.0,0,0.0,1,5.88
1,14.401819014848025,34,True,Optimal,69676.63398971494,69266.63398971494,410.0,69676.63398971499,2,DG1+DG4,2.498180985200001,1,8.521819014799998,0,0.0,0,0.0,1,5.88
2,14.418082818668765,34,True,Optimal,69678.0780451989,69268.0780451989,410.0,69678.07804519896,2,DG2+DG4,2.4819171812999983,0,0.0,1,8.538082818700001,0,0.0,1,5.88
3,14.434346622489503,34,True,Optimal,69679.52210067399,69269.52210067399,410.0,69679.52210067403,2,DG1+DG3,2.4656533775000007,1,8.554346622499999,0,0.0,1,5.88,0,0.0
4,14.450610426310243,34,True,Optimal,69680.96615614908,69270.96615614908,410.0,69680.96615614911,2,DG1+DG3,2.4493895736999995,1,8.5706104263,0,0.0,1,5.88,0,0.0
5,14.466874230130983,34,True,Optimal,69682.41021162417,69272.41021162417,410.0,69682.4102116242,2,DG1+DG4,2.4331257698999984,1,8.586874230100001,0,0.0,0,0.0,1,5.88
6,14.483138033951724,34,True,Optimal,69683.85426710812,69273.85426710812,410.0,69683.85426710817,2,DG1+DG3,2.416861965999999,1,8.603138034,0,0.0,1,5.88,0,0.0
7,14.499401837772464,34,True,Optimal,69685.29832258321,69275.29832258321,410.0,69685.29832258326,2,DG2+DG4,2.400598162199998,0,0.0,1,8.619401837800002,0,0.0,1,5.88
8,14.515665641593202,34,True,Optimal,69686.74237805829,69276.74237805829,410.0,69686.74237805833,2,DG2+DG4,2.3843343584000003,0,0.0,1,8.6356656416,0,0.0,1,5.88
9,14.531929445413942,34,True,Optimal,69688.18643353338,69278.18643353338,410.0,69688.18643353342,2,DG1+DG4,2.368070554599999,1,8.6519294454,0,0.0,0,0.0,1,5.88
10,14.548193249234682,34,True,Optimal,69689.63048900847,69279.63048900847,410.0,69689.6304890085,2,DG1+DG3,2.351806750799998,1,8.668193249200002,0,0.0,1,5.88,0,0.0
11,14.564457053055422,34,True,Optimal,69691.07454449243,69281.07454449243,410.0,69691.07454449247,2,DG2+DG4,2.3355429468999986,0,0.0,1,8.684457053100001,0,0.0,1,5.88
12,14.580720856876162,34,True,Optimal,69692.5185999675,69282.5185999675,410.0,69692.51859996756,2,DG1+DG4,2.319279143100001,1,8.700720856899999,0,0.0,0,0.0,1,5.88
13,14.5969846606969,34,True,Optimal,69693.96265544259,69283.96265544259,410.0,69693.96265544264,2,DG1+DG4,2.3030153393,1,8.7169846607,0,0.0,0,0.0,1,5.88
14,14.61324846451764,34,True,Optimal,69695.40671091768,69285.40671091768,410.0,69695.40671091771,2,DG1+DG3,2.2867515354999988,1,8.7332484645,0,0.0,1,5.88,0,0.0
15,14.629512268338381,34,True,Optimal,69696.85076639276,69286.85076639276,410.0,69696.8507663928,2,DG1+DG3,2.270487731700001,1,8.749512268299998,0,0.0,1,5.88,0,0.0
16,14.645776072159121,34,True,Optimal,69698.46423402423,69288.46423402423,410.0,69698.46423402429,2,DG2+DG4,2.2542239277999983,0,0.0,1,8.765776072200001,0,0.0,1,5.88
17,14.662039875979861,34,True,Optimal,69699.73887735182,69289.73887735182,410.0,69699.73887735185,2,DG1+DG3,2.2379601240000007,1,8.782039875999999,0,0.0,1,5.88,0,0.0
18,14.6783036798006,34,True,Optimal,69701.1829328269,69291.1829328269,410.0,69701.18293282692,2,DG2+DG3,2.2216963201999995,0,0.0,1,8.7983036798,1,5.88,0,0.0
