profile,t,P_req_MW,dt_h
case2_seed_profile,0,14.385555211027285,0.5
case2_seed_profile,1,15.656799845366816,0.5
case2_seed_profile,2,15.392728357136589,0.5
case2_seed_profile,3,15.483998541283519,0.5
case2_seed_profile,4,15.373388561765752,0.5
case2_seed_profile,5,14.973065016111047,0.5
case2_seed_profile,6,15.537082871121804,0.5
case2_seed_profile,7,15.61486475664228,0.5
case2_seed_profile,8,16.123895942571764,0.5
case2_seed_profile,9,15.511859718764901,0.5
case2_seed_profile,10,16.269238267441686,0.5
case2_seed_profile,11,16.298130707708026,0.5
case2_seed_profile,12,16.744481190820636,0.5
case2_seed_profile,13,16.026116705963965,0.5
case2_seed_profile,14,15.787737248131993,0.5
case2_seed_profile,15,16.063304488116657,0.5
case2_seed_profile,16,16.15257244026806,0.5
case2_seed_profile,17,15.879391268824385,0.5
case2_seed_profile,18,16.082454152231207,0.5
case2_seed_profile,19,16.077968812612383,0.5
case2_seed_profile,20,16.116622231291256,0.5
case2_seed_profile,21,16.239247310026677,0.5
case2_seed_profile,22,15.86215002327091,0.5
case2_seed_profile,23,16.57026025965647,0.5
case2_seed_profile,24,16.26583162191052,0.5
case2_seed_profile,25,16.395538327701157,0.5
case2_seed_profile,26,16.401394113686408,0.5
case2_seed_profile,27,15.713181921240475,0.5
case2_seed_profile,28,15.032572851423257,0.5
case2_seed_profile,29,15.26038485856828,0.5
case2_seed_profile,30,16.610913233647572,0.5
case2_seed_profile,31,16.33593446052705,0.5
case2_seed_profile,32,16.803052889723162,0.5
case2_seed_profile,33,16.93563092965833,0.5
case2_seed_profile,34,16.971500018524907,0.5
case2_seed_profile,35,16.50201175696901,0.5
case2_seed_profile,36,16.42302358353089,0.5
case2_seed_profile,37,16.46162649926532,0.5
case2_seed_profile,38,16.20709708891185,0.5
case2_seed_profile,39,16.037770833203187,0.5
case2_seed_profile,40,16.4493885452669,0.5
case2_seed_profile,41,16.478561662297302,0.5
case2_seed_profile,42,16.444109995506835,0.5
case2_seed_profile,43,16.589225221835395,0.5
case2_seed_profile,44,16.415669077201635,0.5
case2_seed_profile,45,16.414147305975014,0.5
case2_seed_profile,46,16.380432877327983,0.5
case2_seed_profile,47,15.114186871495455,0.5
case3_seed_profile_scaled_to_case2_energy,0,15.661033412929786,0.5
case3_seed_profile_scaled_to_case2_energy,1,17.636493243825182,0.5
case3_seed_profile_scaled_to_case2_energy,2,16.45138456731762,0.5
case3_seed_profile_scaled_to_case2_energy,3,15.631669688931561,0.5
case3_seed_profile_scaled_to_case2_energy,4,15.661823658768213,0.5
case3_seed_profile_scaled_to_case2_energy,5,16.558250740755703,0.5
case3_seed_profile_scaled_to_case2_energy,6,15.863438181015237,0.5
case3_seed_profile_scaled_to_case2_energy,7,16.243724588008824,0.5
case3_seed_profile_scaled_to_case2_energy,8,18.327900173046643,0.5
case3_seed_profile_scaled_to_case2_energy,9,17.349981987441534,0.5
case3_seed_profile_scaled_to_case2_energy,10,16.829868408814292,0.5
case3_seed_profile_scaled_to_case2_energy,11,18.14849413507191,0.5
case3_seed_profile_scaled_to_case2_energy,12,17.491193415528276,0.5
case3_seed_profile_scaled_to_case2_energy,13,17.99999303735548,0.5
case3_seed_profile_scaled_to_case2_energy,14,17.581757549678464,0.5
case3_seed_profile_scaled_to_case2_energy,15,16.71598546105033,0.5
case3_seed_profile_scaled_to_case2_energy,16,17.15886002839233,0.5
case3_seed_profile_scaled_to_case2_energy,17,17.488677413418543,0.5
case3_seed_profile_scaled_to_case2_energy,18,16.620630299402126,0.5
case3_seed_profile_scaled_to_case2_energy,19,18.82379454380919,0.5
case3_seed_profile_scaled_to_case2_energy,20,16.91912204958026,0.5
case3_seed_profile_scaled_to_case2_energy,21,17.326831419069904,0.5
case3_seed_profile_scaled_to_case2_energy,22,15.6854804713227,0.5
case3_seed_profile_scaled_to_case2_energy,23,15.082196946834811,0.5
case3_seed_profile_scaled_to_case2_energy,24,14.643073717672927,0.5
case3_seed_profile_scaled_to_case2_energy,25,14.810995769911944,0.5
case3_seed_profile_scaled_to_case2_energy,26,15.015540699193265,0.5
case3_seed_profile_scaled_to_case2_energy,27,14.788204964600167,0.5
case3_seed_profile_scaled_to_case2_energy,28,14.747925089905241,0.5
case3_seed_profile_scaled_to_case2_energy,29,14.799229581671744,0.5
case3_seed_profile_scaled_to_case2_energy,30,14.947819845580774,0.5
case3_seed_profile_scaled_to_case2_energy,31,14.935406381420647,0.5
case3_seed_profile_scaled_to_case2_energy,32,15.006185406292614,0.5
case3_seed_profile_scaled_to_case2_energy,33,17.012709097628868,0.5
case3_seed_profile_scaled_to_case2_energy,34,16.802925192880153,0.5
case3_seed_profile_scaled_to_case2_energy,35,16.63650526794785,0.5
case3_seed_profile_scaled_to_case2_energy,36,16.537862201164227,0.5
case3_seed_profile_scaled_to_case2_energy,37,14.991074872109559,0.5
case3_seed_profile_scaled_to_case2_energy,38,15.114868103552766,0.5
case3_seed_profile_scaled_to_case2_energy,39,15.09965090973466,0.5
case3_seed_profile_scaled_to_case2_energy,40,15.020365319538588,0.5
case3_seed_profile_scaled_to_case2_energy,41,15.106368276032338,0.5
case3_seed_profile_scaled_to_case2_energy,42,14.978199899506182,0.5
case3_seed_profile_scaled_to_case2_energy,43,15.063825686045591,0.5
case3_seed_profile_scaled_to_case2_energy,44,15.118959570999172,0.5
case3_seed_profile_scaled_to_case2_energy,45,15.11905430704618,0.5
case3_seed_profile_scaled_to_case2_energy,46,14.956675482000188,0.5
case3_seed_profile_scaled_to_case2_energy,47,14.354089409749381,0.5
