case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case1_astar_fixed,0,departure,2024-07-15T06:00:00+00:00,0.5,9.529887086594815,31.0,122.0,31.08000000000017,122.1600000000006,59.69257147161935,322.4772730917761,17.98448805185814,17.950099805099406,17.950099805099406,0.03438824675873347,5.637286402105157,188.78197144210748,0.06259097199931882,133.27463028996186,0.5245105028152466,3.389188766479492,178.05939790865114,12.98159386053208,2.5,15.48159386053208,12721.961983321436,12981.593860532079,946622.5209957734,949751.3278087652,-4515.444029572814,1386.6372165808639,7.1837554173058304,37.52272690822388,1395.8146495726883,15.481593860500002,0.0,0.0,0.7,0.0,0,0,0.0,0.0,8.341593860500002,1,1,1505.1550054953768,170.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,290.0,1685.8146495726883,8.5,8.341593860500002,1.4184061395
case1_astar_fixed,1,cruising,2024-07-15T06:30:00+00:00,0.5,9.523907218330455,31.08000000000017,122.1600000000006,31.16000000000018,122.32000000000068,59.67148004185809,319.05718437451566,17.98448805185814,17.88139829131174,17.88139829131174,0.10308976054639969,6.068326132847156,188.18979532084077,0.05382120666372892,69.48356477510269,0.5046389102935791,3.379305839538574,177.0213732007869,12.787698450246909,3.5,16.287698450246907,12531.944481241972,12787.69845024691,936313.5038768266,941714.7854227438,-6532.686675033841,1131.4051291167368,7.245344367947568,40.94281562548436,1467.3882962153634,16.2876984502,0.0,0.0,0.7,0.0,0,0,0.0,0.0,9.1476984502,1,0,1648.3022987807267,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1467.3882962153634,8.5,9.1476984502,0.6123015498000015
case1_astar_fixed,2,cruising,2024-07-15T07:00:00+00:00,0.5,9.078243193853506,31.16000000000018,122.32000000000068,31.240000000000194,122.47000000000075,58.01696376320448,316.14755151139053,17.98448805185814,17.843302971400007,17.843302971400007,0.1411850804581322,6.414350130391985,189.71759881796703,0.14921933960009917,118.89007830128604,0.6522477865219116,3.6230850219726562,180.59272884795888,12.716308399315537,3.5,16.216308399315537,12461.982231329224,12716.308399315536,933022.861565258,937284.8310260386,-7448.613540413433,3186.6440796328316,6.912711697182687,43.852448488609475,1461.0496072385138,16.2163083993,0.0,0.0,0.7,0.0,0,0,0.0,0.0,9.0763083993,1,0,1635.6249208270276,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1461.0496072385138,8.5,9.0763083993,0.6836916007000013
case1_astar_fixed,3,cruising,2024-07-15T07:30:00+00:00,0.5,9.761094846921786,31.240000000000194,122.47000000000075,31.34000000000021,122.62000000000083,52.00191443512407,312.68178960092376,17.98448805185814,18.03213117438913,18.03213117438913,-0.047643122530988076,6.802441704836943,190.30710028735427,0.4520465392396709,145.10998466375895,0.6458268761634827,3.5983638763427734,179.50861392770113,13.167778570853907,3.5,16.667778570853905,12904.422999436829,13167.778570853907,955785.31734988,959428.0059663554,-6922.191728320977,3279.503111845609,6.155007121515252,47.31821039907625,1504.3378221810672,16.6677785709,0.0,0.0,0.7,0.0,0,0,0.0,0.0,9.5277785709,1,0,1722.2013507121346,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1504.3378221810672,8.5,9.5277785709,0.23222142910000088
case1_astar_fixed,4,cruising,2024-07-15T08:00:00+00:00,0.5,9.754650196742341,31.34000000000021,122.62000000000083,31.440000000000225,122.7700000000009,51.97226548562392,310.42220306779257,17.98448805185814,18.280072969963513,18.280072969963513,-0.2955849181053744,7.043778132586451,190.98641485719972,0.47687284871370944,160.56704936493549,0.6870133876800537,4.081455230712891,171.82293027743987,13.766867320249588,3.5,17.266867320249588,13491.529973844596,13766.867320249588,985442.4675102828,989222.4915259269,-7247.4344232231815,3467.4104075790087,6.068435073270729,49.57779693220742,1556.9796420493333,17.2668673202,0.0,0.0,0.7,8.0868673202,1,1,1459.9209065486666,170.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,170.0,1726.9796420493333,8.5,9.18,2.0331326798000013
case1_astar_fixed,5,cruising,2024-07-15T08:30:00+00:00,0.5,9.390648828842421,31.440000000000225,122.7700000000009,31.53000000000024,122.92000000000098,54.831250709292995,306.89015452186766,17.98448805185814,17.920001668579417,17.920001668579417,0.0644863832787241,7.445423006221066,191.58431771917014,0.26544833705188947,137.65188925150406,0.8749852478504181,4.360409736633301,175.78760212846794,12.919789342062254,3.5,16.419789342062252,12661.393555221008,12919.789342062253,943682.3928295667,946222.9651949271,-8901.657176430977,6361.084811070661,6.378175273440693,53.10984547813233,1470.2563356,16.32,0.09978934210000023,0.0,0.6948562194793791,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,120.0,1590.2563356,8.4002106579,9.18,0.4802106579000025
case1_astar_fixed,6,cruising,2024-07-15T09:00:00+00:00,0.5,9.49003707240142,31.53000000000024,122.92000000000098,31.61000000000025,123.08000000000106,59.551437798665226,305.25405488331654,17.98448805185814,17.61531764338624,17.61531764338624,0.3691704084718999,7.735721984287775,191.89511736398333,0.23077918800588113,94.17121304919483,0.8859551548957825,4.330526351928711,176.02570933822497,12.189072065578618,3.5,15.689072065578618,11945.290624267045,12189.072065578617,906178.9361361075,911159.9259254362,-11227.110657161093,6246.1208678324565,7.001720445430016,54.74594511668344,1414.236541629413,15.6890720656,0.0,0.0,0.6948562194793791,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.5090720656,1,0,1174.4347057088262,0.0,0.0,1414.236541629413,8.5,9.18,1.2109279344000008
case1_astar_fixed,7,cruising,2024-07-15T09:30:00+00:00,0.5,9.483974417515178,31.61000000000025,123.08000000000106,31.690000000000264,123.24000000000115,59.52984595263649,311.64029928768656,17.98448805185814,17.55598053753488,17.55598053753488,0.4285075143232615,6.928153972421294,194.26746945050456,0.23015033173447905,76.2298851392441,0.8638526797294617,4.381580829620361,175.3569449661724,12.095090890756298,3.5,15.595090890756298,11853.189072941172,12095.090890756297,902079.649404912,904467.5116342853,-8205.122812144047,5817.260582770682,6.585204651400407,48.359700712313455,1405.8919974075498,15.5950908908,0.0,0.0,0.6948562194793791,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.4150908908,1,0,1157.7456172650996,0.0,0.0,1405.8919974075498,8.5,9.18,1.3049091092000005
case1_astar_fixed,8,cruising,2024-07-15T10:00:00+00:00,0.5,9.477899355455042,31.690000000000264,123.24000000000115,31.770000000000277,123.40000000000123,59.508177847849616,320.1648029560687,17.98448805185814,17.439085591389603,17.439085591389603,0.5454024604685356,5.969014197242466,196.17226768153873,0.29188297839295346,75.50597247147692,0.841750204563141,4.432635307312012,174.6881805822385,11.884666096607615,3.5,15.384666096607615,11646.972774675463,11884.666096607616,892174.3575150853,891410.3956237623,-4599.622903648203,5363.584794971172,6.3947851963251505,39.83519704393131,1387.208479093216,15.3846660966,0.0,0.0,0.6948562194793791,0.0,0,0,0.0,0.0,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,6.2046660966000005,1,0,1120.3785806364322,0.0,170.0,1557.208479093216,8.5,9.18,1.5153339034000002
case1_astar_fixed,9,cruising,2024-07-15T10:30:00+00:00,0.5,9.471811909764034,31.770000000000277,123.40000000000123,31.85000000000029,123.56000000000131,59.48643329192418,320.71114320163724,17.98448805185814,17.354688509828247,17.354688509828247,0.6297995420298917,5.8847543711442745,194.17350539315527,0.3342354761787644,73.70489288671548,0.8709639608860016,4.587514400482178,176.20477643908487,11.707392359014149,3.5,15.207392359014149,11473.244511833866,11707.39235901415,883177.5226061183,882086.8560007763,-4652.473133677224,5743.139739019367,6.607096625359507,39.28885679836279,1371.4684274719607,15.207392359,0.0,0.0,0.6948562194793791,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,6.027392359,1,0,1088.8984773939217,0.0,0.0,1371.4684274719607,8.5,9.18,1.6926076410000004
