case_name,segment,phase,when_utc,dt_h,distance_nm,node_from_lat,node_from_lon,node_to_lat,node_to_lon,heading_deg,encounter_angle_deg,speed_sog_kts,speed_stw_kts,speed_stw_power_kts,current_component_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,PD_kW,BHP_kW,total_resistance_N,R_calm_N,R_wind_N,R_wave_N,relative_wind_speed_ms,relative_wind_dir_deg,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case2_ga_twostage,0,departure,2024-07-15T06:00:00+00:00,0.5,8.907771865369998,31.0,122.0,31.07478359156036,122.14954692304894,59.69257147161935,322.0509845203544,17.815543730739996,17.781155483981262,17.781155483981262,0.03438824675873347,5.637286402105157,188.78197144210748,0.06259097199931882,133.27463028996186,0.5245105028152466,3.389188766479492,178.05939790865114,12.587846319872963,2.5,15.087846319872963,12336.089393475502,12587.846319872962,926809.1093442931,930097.9576359526,-4662.573805893339,1373.7255142337713,7.115021100248375,37.94901547964563,1434.6727795998027,15.919237021514236,0.0,0.831390701614236,0.7394910583266762,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.739237021514237,1,1,1215.3071816496054,120.0,290.0,1724.6727795998027,8.5,9.18,0.9807629784857639
case2_ga_twostage,1,cruising,2024-07-15T06:30:00+00:00,0.5,8.887772578662501,31.07478359156036,122.14954692304894,31.149446298635606,122.29884334447515,59.67148004185808,318.88307432755647,17.775545157325002,17.676928500813123,17.676928500813123,0.09861665651187813,6.0203153220897265,188.04553771252688,0.05164703329039538,70.46837196193073,0.5046389102935791,3.379305839538574,177.0213732007869,12.320943180116222,3.5,15.820943180116222,12074.524316513898,12320.943180116223,912766.4066952465,918155.2228817693,-6507.442720300987,1118.626533778141,7.177296253602856,41.116925672443514,1425.9453157416056,15.8209431801,0.0,0.0,0.7394910583266762,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.640943180100001,1,0,1197.852253933211,0.0,0.0,1425.9453157416056,8.5,9.18,1.0790568199
case2_ga_twostage,2,cruising,2024-07-15T07:00:00+00:00,0.5,9.073035502696309,31.149446298635606,122.29884334447515,31.22940049305676,122.44874047960907,58.01696376320448,316.99977167619556,18.146071005392617,18.005687812991365,18.005687812991365,0.14038319240125186,6.369669472536616,189.23132167882432,0.12354083695623341,112.24376014784804,0.6522477865219116,3.6230850219726562,180.59272884795888,13.099371998102917,3.5,16.599371998102917,12837.384558140859,13099.371998102917,952274.5263529723,956298.9918711828,-7239.813960977012,3215.348442766493,7.025767998398218,43.00022832380445,1470.2563356,16.32,0.27937199810000113,0.0,0.7250904398679069,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1470.2563356,8.2206280019,9.18,0.3006280019000016
case2_ga_twostage,3,cruising,2024-07-15T07:30:00+00:00,0.5,9.448298230363148,31.22940049305676,122.44874047960907,31.326198708848175,122.59391240499744,52.00191443512407,316.10124690072354,18.896596460726297,18.897029209007663,18.897029209007663,-0.0004327482813658509,6.755969388989112,189.76947479558248,0.4080998002146841,142.0331701711207,0.6458268761634827,3.5983638763427734,179.50861392770113,15.377371564500109,3.5,18.87737156450011,15069.824133210106,15377.371564500108,1063867.521437132,1067137.904904274,-6706.785029934848,3436.4015627930576,6.548957851609227,43.898753099276476,1654.03837755,18.36,0.5173715644999994,0.0,0.6984218025225344,9.18,1,0,1654.03837755,0.0,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,170.0,1824.03837755,7.982628435500001,9.18,0.42262843550000184
case2_ga_twostage,4,cruising,2024-07-15T08:00:00+00:00,0.5,9.202207097190234,31.326198708848175,122.59391240499744,31.42054003740938,122.73538796682845,51.97226548562393,312.1826546980973,18.404414194380468,18.726939103484405,18.726939103484405,-0.322524909103938,7.0163993768642285,190.4780399032153,0.518096175959701,160.6503921618776,0.6870133876800537,4.081455230712891,171.82293027743987,14.911977492199185,3.5,18.411977492199185,14613.737942355201,14911.977492199185,1041331.6239301434,1045094.5016558082,-7313.598603834591,3550.7208781699205,6.273451567379907,47.81734530190269,1654.03837755,18.36,0.05197749219999892,0.0,0.6957425503472755,9.18,1,0,1654.03837755,0.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1654.03837755,8.448022507800001,9.18,0.8880225078000024
case2_ga_twostage,5,cruising,2024-07-15T08:30:00+00:00,0.5,8.998283148572362,31.42054003740938,122.73538796682845,31.50678306835798,122.87908494976882,54.83129783479506,307.2065357773214,17.996566297144724,18.028527671894796,18.028527671894796,-0.03196137475007035,7.423286553063132,191.0062794829835,0.29320184331943083,148.04604916918964,0.7005467712879181,4.032895088195801,171.67822572953116,13.132278698859732,3.5,16.632278698859732,12869.633124882537,13132.278698859733,953545.4644541272,959001.0636579709,-9032.280324954232,3576.6811211105346,6.453946254253028,52.793464222678615,1470.2563356,16.32,0.31227869889999926,0.0,0.679645710197784,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,120.0,1590.2563356,8.187721301100002,9.18,0.2677213011000035
case2_ga_twostage,6,cruising,2024-07-15T09:00:00+00:00,0.5,8.887745281149991,31.50678306835798,122.87908494976882,31.5817117142997,123.02888501052209,59.551484924167305,304.73118872100196,17.775490562299982,17.45224151449843,17.45224151449843,0.3232490478015523,7.73112217178919,191.24892895192627,0.22547899981795425,102.03155525159053,0.8859551548957825,4.330526351928711,176.02570933822497,11.826536708809346,3.5,15.326536708809346,11590.005974633159,11826.536708809346,887602.219144299,892871.5503121123,-11459.517395235796,6190.186227422595,7.024022111171852,55.268811278998044,1382.0471981439282,15.3265367088,0.0,0.0,0.679645710197784,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,6.146536708800001,1,0,1110.0560187378562,0.0,170.0,1552.0471981439282,8.5,9.18,1.5734632911999995
case2_ga_twostage,7,cruising,2024-07-15T09:30:00+00:00,0.5,9.157137250517438,31.5817117142997,123.02888501052209,31.658958068135615,123.18331952448656,59.529893078138564,312.5845762781524,18.314274501034877,17.906660461767945,17.906660461767945,0.40761403926693096,6.948023817287067,193.71431273196166,0.22716953254545383,82.14999167431876,0.8638526797294617,4.381580829620361,175.3569449661724,12.889750601823236,3.5,16.389750601823238,12631.95558978677,12889.750601823236,942197.2439892971,944662.7661983452,-8395.010498939046,5929.488289890927,6.7670368865640365,47.41542372184762,1470.2563356,16.32,0.06975060180000003,0.0,0.6760503183524216,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,0.0,0,0,0.0,0.0,120.0,1590.2563356,8.4302493982,9.18,0.5102493982000027
case2_ga_twostage,8,cruising,2024-07-15T10:00:00+00:00,0.5,8.921121944982785,31.658958068135615,123.18331952448656,31.734264014488357,123.33386230674849,59.50822497306819,319.309925992286,17.84224388996557,17.352130478935216,17.352130478935216,0.4901134110303529,6.010960113100535,195.59678355058355,0.2603329649760943,73.92434279583796,0.8417502045631409,4.432635307312012,174.6881805822385,11.691489823949098,3.5,15.191489823949098,11457.660027470116,11691.489823949098,882166.9739529843,881805.6086512345,-4976.521441504097,5337.886743253875,6.394304013191785,40.69007400771398,1370.0564488745015,15.1914898239,0.0,0.0,0.6760503183524216,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,6.0114898239,1,0,1086.074520199003,0.0,0.0,0,0,0.0,0.0,0.0,1370.0564488745015,8.5,9.18,1.7085101761000008
case2_ga_twostage,9,cruising,2024-07-15T10:30:00+00:00,0.5,9.227009870279092,31.734264014488357,123.33386230674849,31.812216647310517,123.48965105995444,59.4788206446666,321.6032709959888,18.454019740558184,17.865620172570544,17.865620172570544,0.5883995679876416,5.927415631548714,193.73196624656174,0.3200035751803377,78.4075815122765,0.8720625936985016,4.666005611419678,177.27118037388095,12.850982024613913,3.5,16.350982024613913,12593.962384121634,12850.982024613913,941258.0630130846,939877.739437403,-4529.4932882346775,5909.816863916254,6.83556832082504,38.39672900401119,1470.2563356,16.32,0.03098202460000099,0.0,0.6744533067751012,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1470.2563356,8.4690179754,9.18,0.5490179754000017
