case_name,node_index,time_h,time_utc,lat,lon,speed_out_kts,speed_over_ground_kts,speed_through_water_kts,heading_out_deg,outgoing_phase,outgoing_speed_sog_kts,outgoing_speed_stw_kts,wind_speed_ms,wind_dir_deg,current_speed_ms,current_dir_deg,wave_height_m,wave_period_s,wave_dir_deg,P_prop_MW,P_service_MW,P_req_MW,fuel_step_kg,milp_total_dg_MW,milp_P_dc_MW,milp_P_c_MW,milp_SOC,milp_DG1_P_MW,milp_DG1_ON,milp_DG1_Start,milp_DG1_FC_kgh,milp_DG1_StartFuel_kg,milp_DG2_P_MW,milp_DG2_ON,milp_DG2_Start,milp_DG2_FC_kgh,milp_DG2_StartFuel_kg,milp_DG3_P_MW,milp_DG3_ON,milp_DG3_Start,milp_DG3_FC_kgh,milp_DG3_StartFuel_kg,milp_DG4_P_MW,milp_DG4_ON,milp_DG4_Start,milp_DG4_FC_kgh,milp_DG4_StartFuel_kg,milp_StartFuel_kg,milp_FuelWithStart_kg,milp_ESS_N1_reserve_MW,milp_N1_largest_output_MW,milp_N1_min_margin_MW
case1_astar_fixed,0,0.0,2024-09-14T06:00:00+00:00,31.0,122.0,17.98448805185814,17.98448805185814,18.09141712493935,59.69257147161935,departure,17.98448805185814,18.09141712493935,7.31058272359463,44.64923425969164,0.06231595613909797,211.6677025613315,0.7194396257400513,3.737545967102051,62.890707801684854,13.47852060646945,2.5,15.97852060646945,1652.7406604588728,18.345384345323183,0.0,2.366863738823182,0.8124260275941011,9.18,1,1,1654.03837755,170.0,9.165384345323183,1,1,1651.4429433677453,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,340.0,1992.7406604588728,8.5,9.18,0.9546156546768181
case1_astar_fixed,1,0.5,2024-09-14T06:30:00+00:00,31.08000000000017,122.1600000000006,17.98448805185814,17.98448805185814,18.120636830430165,59.67148004185809,cruising,17.98448805185814,18.120636830430165,7.381426723822637,42.999283571546584,0.0728428093119031,223.72842257519378,0.7412637770175934,3.757535934448242,61.91507715285396,13.562078757179176,3.5,17.062078757179176,1538.7965620471734,17.0620787572,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,7.882078757199999,1,0,1423.554746544347,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1538.7965620471734,8.5,9.18,2.2379212428000024
case1_astar_fixed,2,1.0,2024-09-14T07:00:00+00:00,31.16000000000018,122.32000000000068,17.98448805185814,17.98448805185814,18.203042151766766,58.01696376320448,cruising,17.98448805185814,18.203042151766766,7.477173879768439,42.11671185978497,0.13784684142405698,202.66797822548943,0.9114033579826355,4.341979026794434,64.83007223324148,13.773995015675776,3.5,17.273995015675776,1557.6125067738517,17.2739950157,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,8.0939950157,1,0,1461.1866359977034,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1557.6125067738517,8.5,9.18,2.026004984300002
case1_astar_fixed,3,1.5,2024-09-14T07:30:00+00:00,31.240000000000194,122.47000000000075,17.98448805185814,17.98448805185814,18.573965588188756,52.00191443512407,cruising,17.98448805185814,18.573965588188756,7.472737443144808,40.50762460915155,0.30371809001108246,228.83131506161274,0.9283331632614136,4.357091903686523,64.0674775020822,14.688156683122347,3.5,18.188156683122347,1638.780490423612,18.1881566831,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,9.008156683100001,1,0,1623.5226032972241,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1638.780490423612,8.5,9.18,1.1118433169
case1_astar_fixed,4,2.0,2024-09-14T08:00:00+00:00,31.34000000000021,122.62000000000083,17.98448805185814,17.98448805185814,18.4837143529492,51.97226548562392,cruising,17.98448805185814,18.4837143529492,7.44253471817615,38.41083417773325,0.28008490614117504,255.4880151193456,0.9824944138526917,4.933728218078613,81.03144567304082,14.488328868350058,3.5,17.98832886835006,1621.0378729252566,17.9883288684,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,8.8083288684,1,0,1588.0373683005134,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1621.0378729252566,8.5,9.18,1.3116711316000007
case1_astar_fixed,5,2.5,2024-09-14T08:30:00+00:00,31.440000000000225,122.7700000000009,17.98448805185814,17.98448805185814,18.399355971869674,54.831250709292995,cruising,17.98448805185814,18.399355971869674,7.493286422949081,37.58261534842626,0.2629157918800298,270.5623367838677,1.1860090494155884,5.529747009277344,86.5215136460553,14.329504320769304,3.5,17.829504320769303,1606.935916189921,17.8295043208,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,8.649504320800002,1,0,1559.833454829842,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1606.935916189921,8.5,9.18,1.470495679199999
case1_astar_fixed,6,3.0,2024-09-14T09:00:00+00:00,31.53000000000024,122.92000000000098,17.98448805185814,17.98448805185814,18.37151337686433,59.551437798665226,cruising,17.98448805185814,18.37151337686433,7.489548795962169,37.09667327955992,0.20377778778748332,251.84791255023578,1.2031223773956299,5.549838066101074,85.86314147246601,14.287658884535965,3.5,17.787658884535965,1603.2204796205058,17.7876588845,0.0,0.0,0.8124260275941011,8.607658884500001,1,0,1552.4025816910116,0.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1603.2204796205058,8.5,9.18,1.5123411155
case1_astar_fixed,7,3.5,2024-09-14T09:30:00+00:00,31.61000000000025,123.08000000000106,17.98448805185814,17.98448805185814,18.112042256184992,59.52984595263649,cruising,17.98448805185814,18.112042256184992,7.2643987370781495,36.400998316634855,0.07923495265227536,273.6193020986527,1.2078540325164795,5.614206790924072,86.16373119323835,13.643344609273992,3.5,17.143344609273992,1546.0121187586,17.1433446093,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,7.963344609300002,1,0,1437.9858599672,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1546.0121187586,8.5,9.18,2.1566553906999992
case1_astar_fixed,8,4.0,2024-09-14T10:00:00+00:00,31.690000000000264,123.24000000000115,17.98448805185814,17.98448805185814,18.207999998905656,59.508177847849616,cruising,17.98448805185814,18.207999998905656,6.980109311760951,35.924091819428725,0.18353174876338108,290.71511277138313,1.212585687637329,5.67857551574707,86.46432090898963,13.873124769944134,3.5,17.373124769944134,1566.414190934373,17.3731247699,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,8.193124769899999,1,0,1478.790004318746,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1566.414190934373,8.5,9.18,1.926875230100002
case1_astar_fixed,9,4.5,2024-09-14T10:30:00+00:00,31.770000000000277,123.40000000000123,17.98448805185814,17.98448805185814,18.18746021639726,59.48643329192418,cruising,17.98448805185814,18.18746021639726,7.284582966088209,36.956111953746415,0.1424512954412202,282.3473467244081,1.2073107361793518,5.841160297393799,92.09756050304449,13.831337642339431,3.5,17.33133764233943,1562.703931566953,17.3313376423,0.0,0.0,0.8124260275941011,9.18,1,0,1654.03837755,0.0,8.1513376423,1,0,1471.369485583906,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1562.703931566953,8.5,9.18,1.9686623577000013
