t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,16.966862086163946,0.0,1.3931379137999542,0.5661740509054978,9.18,1,1,1654.03837755,9.179999999999954,1,1,1654.0383775499915,0.0,0,0,0.0,0.0,0,0,0.0,7.1037765875666565,9.18,-0.456223412433296
1,0.5,17.870728718222395,0.0,0.0,0.5661740509054978,9.18,1,0,1654.03837755,8.690728718199999,1,0,1567.1540444661387,0.0,0,0,0.0,0.0,0,0,0.0,7.1037765875666565,9.18,0.03304786936665849
2,0.5,17.820105364666027,0.0,0.5398946352999516,0.5918190460822454,9.18,1,0,1654.03837755,9.179999999999954,1,0,1654.0383775499915,0.0,0,0,0.0,0.0,0,0,0.0,7.601289493995561,9.18,0.04128949399560966
3,0.5,17.163127131785487,0.0,1.1968728681999536,0.6486705073217433,9.18,1,0,1654.03837755,9.179999999999954,1,0,1654.0383775499915,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,0.9400000000000475
4,0.5,15.89744228870205,0.0,2.4625577112999526,0.765641998608491,9.18,1,0,1654.03837755,9.179999999999954,1,0,1654.0383775499915,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,0.9400000000000475
5,0.5,15.562168788560022,0.0,2.797831211399954,0.8985389811499889,9.18,1,0,1654.03837755,9.179999999999954,1,0,1654.0383775499915,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,0.9400000000000475
6,0.5,16.490412693349796,0.0,0.0814419361265946,0.9024074731160021,7.5600000000000005,1,0,1366.3603044,9.011854629426596,1,0,1624.1792811205864,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.011854629426596,2.7281453705734044
7,0.5,17.432673737978114,0.0,0.9273262619999549,0.946455470561,9.18,1,0,1654.03837755,9.179999999999954,1,0,1654.0383775499915,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,0.9400000000000475
8,0.5,17.333769638388386,0.0,0.0,0.946455470561,9.18,1,0,1654.03837755,8.1537696384,1,0,1471.8013571591875,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,1.966230361600001
9,0.5,18.037611491240973,0.0,0.0,0.946455470561,9.18,1,0,1654.03837755,8.8576114912,1,0,1596.7889300084655,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,1.2623885088000009
10,0.5,18.03128809981943,0.0,0.0,0.946455470561,9.18,1,0,1654.03837755,8.851288099800001,1,0,1595.66602812345,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,1.2687119001999996
11,0.5,17.96801253803495,0.0,0.0,0.946455470561,9.18,1,0,1654.03837755,8.788012538,1,0,1584.4296134962228,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,1.3319874620000007
12,0.5,18.285378327637275,0.0,0.07462167239999928,0.95,9.18,1,0,1654.03837755,9.18,1,0,1654.03837755,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.18,0.9400000000000013
13,0.5,18.496938164522525,0.0,0.0,0.95,9.18,1,0,1654.03837755,9.316938164500002,1,0,1680.8776172637358,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.316938164500002,0.8030618354999994
14,0.5,18.472091151555617,0.0,0.0,0.95,9.18,1,0,1654.03837755,9.292091151600001,1,0,1676.0077189572385,0.0,0,0,0.0,0.0,0,0,0.0,8.5,9.292091151600001,0.8279088483999999
