t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG1_StartFuel_kg,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG2_StartFuel_kg,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG3_StartFuel_kg,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,DG4_StartFuel_kg,StartFuel_kg,FuelWithStart_kg,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,14.385555211027285,0.0,3.9744447889999996,0.6887861274775,9.18,1,1,1654.03837755,170.0,9.18,1,1,1654.03837755,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,340.0,1994.03837755,8.5,9.18,0.9400000000000013
1,0.5,15.656799845366816,0.0,0.0,0.6887861274775,7.5600000000000005,1,0,1366.3603044,0.0,8.0967998454,1,0,1461.6847150122776,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1414.0225097061389,8.5,8.0967998454,3.6432001546000006
2,0.5,15.392728357136589,0.0,0.5532132906543057,0.7150637587835795,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,6.765941647754305,1,1,1220.0493640082063,120.0,120.0,1557.0438707791031,8.5,9.18,0.9540583522456956
3,0.5,15.483998541283519,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,0.0,0,0,0.0,0.0,6.3039985413,1,0,1138.017942545429,0.0,0.0,1396.0281600477144,8.5,9.18,1.4160014587000003
4,0.5,15.373388561765752,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,6.193388561800001,1,1,1118.3759266357247,120.0,0.0,0,0,0.0,0.0,120.0,1506.2071520928623,8.5,9.18,1.5266114381999998
5,0.5,14.973065016111047,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.093065016099999,1,0,1638.60054504526,0.0,5.88,1,0,1062.7246812,0.0,0.0,0,0,0.0,0.0,0.0,1350.66261312263,8.5,9.093065016099999,1.9269349839000007
6,0.5,15.537082871121804,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,6.357082871100001,1,0,1147.4446077993323,0.0,0.0,0,0,0.0,0.0,0.0,1400.741492674666,8.5,9.18,1.3629171288999995
7,0.5,15.61486475664228,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,6.4348647566,1,0,1161.257041716995,0.0,0.0,0,0,0.0,0.0,0.0,1407.6477096334975,8.5,9.18,1.285135243400001
8,0.5,16.123895942571764,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,8.9838959426,1,0,1619.2144038649822,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1452.844348757491,8.5,8.9838959426,0.7761040574000013
9,0.5,15.511859718764901,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.18,1,0,1654.03837755,0.0,6.3318597188000005,1,0,1142.9655041867193,0.0,0.0,0,0,0.0,0.0,0.0,1398.5019408683597,8.5,9.18,1.3881402812
10,0.5,16.269238267441686,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.129238267399998,1,0,1645.0241569178245,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1465.7492252839122,8.5,9.129238267399998,0.6307617326000035
11,0.5,16.298130707708026,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,9.1581307077,1,0,1650.154849235174,0.0,7.14,1,0,1286.47429365,0.0,0.0,0,0,0.0,0.0,0.0,1468.3145714425868,8.5,9.1581307077,0.6018692923000017
12,0.5,16.744481190820636,0.0,0.0,0.7150637587835795,9.18,1,1,1654.03837755,170.0,7.564481190799999,1,0,1367.1560700387413,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,170.0,1680.5972237943706,8.5,9.18,2.5555188092000023
13,0.5,16.026116705963965,0.0,0.0,0.7150637587835795,8.886116706,1,0,1601.8508591864845,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,1,1286.47429365,120.0,120.0,1564.1625764182422,8.5,8.886116706,0.8738832940000023
14,0.5,15.787737248131993,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,8.6477372481,1,1,1559.5196597252416,170.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1592.9969766876206,8.5,8.6477372481,1.1122627519000012
15,0.5,16.063304488116657,0.0,0.0,0.7150637587835795,0.0,0,0,0.0,0.0,8.923304488100001,1,0,1608.4546304823182,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1447.464462066159,8.5,8.923304488100001,0.8366955119000004
16,0.5,16.15257244026806,0.0,0.0,0.7150637587835795,9.012572440299998,1,1,1624.3067492989487,170.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,170.0,1625.3905214744743,8.5,9.012572440299998,0.7474275597000037
17,0.5,15.879391268824385,0.0,0.0,0.7150637587835795,8.739391268799999,1,0,1575.7954943372329,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1431.1348939936165,8.5,8.739391268799999,1.020608731200003
18,0.5,16.082454152231207,0.0,0.0,0.7150637587835795,8.9424541522,1,0,1611.8552097846375,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,7.14,1,0,1286.47429365,0.0,0.0,1449.1647517173187,8.5,8.9424541522,0.8175458478000017
