t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,14.385555211027285,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,1,1801.6537392,2.1,1,1,419.96600625,2.2055552109999996,1,1,437.9148230638696,3.88,10.08,6.294444789000002
1,0.5,15.656799845366816,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4767998454,1,0,654.0797745835102,3.88,10.08,5.0232001546
2,0.5,15.392728357136589,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.212728357099999,1,0,609.17653651161,3.88,10.08,5.2872716429
3,0.5,15.483998541283519,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3039985413,1,0,624.6962991197674,3.88,10.08,5.196001458700001
4,0.5,15.373388561765752,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.1933885618000004,1,0,605.887959474353,3.88,10.08,5.306611438199999
5,0.5,14.973065016111047,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.7930650160999995,1,0,537.8161521237132,3.88,10.08,5.7069349839
6,0.5,15.537082871121804,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3570828711000007,1,0,633.7228635332217,3.88,10.08,5.142917128900001
7,0.5,15.61486475664228,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4348647565999992,1,0,646.9490491573201,3.88,10.08,5.065135243400002
8,0.5,16.123895942571764,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.9438959426000006,1,0,733.5057186339307,3.88,10.08,4.556104057400001
9,0.5,15.511859718764901,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3318597188,1,0,629.4338688373459,3.88,10.08,5.168140281200001
10,0.5,16.269238267441686,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.089238267399999,1,0,758.2200149573697,3.88,10.08,4.410761732600003
11,0.5,16.298130707708026,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.118130707700001,1,0,763.1329426407826,3.88,10.08,4.381869292300001
12,0.5,16.744481190820636,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.564481190799999,1,0,839.0312614451865,3.88,10.08,3.935518809200003
13,0.5,16.026116705963965,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.8461167059999997,1,0,716.879143884026,3.88,10.08,4.653883294000002
14,0.5,15.787737248131993,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.6077372481000007,1,0,676.3446294673322,3.88,10.08,4.892262751900001
15,0.5,16.063304488116657,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.8833044881000016,1,0,723.2026278911495,3.88,10.08,4.6166955119
16,0.5,16.15257244026806,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.9725724402999982,1,0,738.3819270106123,3.88,10.08,4.527427559700003
17,0.5,15.879391268824385,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.699391268799999,1,0,691.9296603929859,3.88,10.08,4.800608731200002
18,0.5,16.082454152231207,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.9024541522000002,1,0,726.458874643174,3.88,10.08,4.597545847800001
19,0.5,16.077968812612383,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.8979688126000016,1,0,725.6961786278312,3.88,10.08,4.6020311874
20,0.5,16.116622231291256,0.0,0.0,0.5,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.936622231299999,1,0,732.2688823807143,3.88,10.08,4.563377768700002
