t,dt_h,P_req_MW,speed_sog_kts
0,0.5,16.366386790194678,18.667394830125346
1,0.5,18.430818863638436,19.12109804110229
2,0.5,17.192334373073137,18.66647853834709
3,0.5,16.33570056075603,18.578478815392042
4,0.5,16.367212627718295,19.051618244069736
5,0.5,17.3040136654391,19.692940055515155
6,0.5,16.57790761614038,19.246713531934184
7,0.5,16.975321647756708,19.02032324107259
8,0.5,19.153365897074735,19.635895628712465
9,0.5,18.131403498248307,19.24559083918321
10,0.5,17.587864653894783,18.752446337564592
11,0.5,18.965879635308212,19.267606465184965
12,0.5,18.278974912619677,19.036862746649042
13,0.5,18.810690233695098,19.253430791475832
14,0.5,18.373617942216775,19.098697883195747
15,0.5,17.4688525604544,18.68955374625645
16,0.5,17.931673644960554,18.87789645688471
17,0.5,18.27634559291854,19.094379093946582
18,0.5,17.36920272146692,18.694351435834715
19,0.5,19.67159473070199,19.313539267076955
20,0.5,17.681138167123027,18.53398347420341
21,0.5,18.10721025720266,18.72287027180155
22,0.5,16.39193491355227,18.01258082858968
23,0.5,15.761480252893094,17.750175604659173
24,0.5,15.302579462151582,17.633712701705562
25,0.5,15.478064513813504,17.75100538388235
26,0.5,15.691821891141315,17.683840136686086
27,0.5,15.454247239106419,17.37884423253594
28,0.5,15.41215320918286,17.59579804478806
29,0.5,15.46576839115621,17.749573845103466
30,0.5,15.621050974895832,17.629835808096573
31,0.5,15.608078423819915,17.801754351959605
32,0.5,15.682045247537376,17.582552041182797
33,0.5,17.778940258883555,18.248150666771455
34,0.5,17.559707949179128,18.277552140003348
35,0.5,17.385792678760986,18.209589264896103
36,0.5,17.282706851498855,18.426909986831845
37,0.5,15.666254153774549,17.932618846511957
38,0.5,15.7956228776887,17.968977861415972
39,0.5,15.779720320474125,17.889373961576055
40,0.5,15.696863806358877,17.791069886577848
41,0.5,15.786740228556848,17.81977397833709
42,0.5,15.65279930849173,17.87490341829781
43,0.5,15.74228157347187,17.816302375896434
44,0.5,15.799898619716814,17.807861115942067
45,0.5,15.799997622557013,17.955022391022542
46,0.5,15.630305458114915,17.88651913819327
47,0.5,15.000579662070148,18.131152516604143
