t,dt_h,P_req_MW,speed_sog_kts
0,0.5,14.385555211027285,17.843078939565608
1,0.5,15.597860100753524,17.97673190764143
2,0.5,15.39275329003239,17.915564087759147
3,0.5,14.930049781872542,17.927633547584424
4,0.5,15.399864049880547,18.560614209857683
5,0.5,14.98161494662443,18.624670364866905
6,0.5,15.535401092240301,18.911199332256093
7,0.5,15.582061438217425,18.683959042116193
8,0.5,19.941719031160243,19.888728928996052
9,0.5,15.5743267927859,18.280185847040556
10,0.5,16.307082607264462,18.306884493093687
11,0.5,16.303810858705003,18.196927816071526
12,0.5,16.68330162573084,18.36400890969572
13,0.5,16.03435101792533,18.160100666973293
14,0.5,15.816347936344288,18.053176016002066
15,0.5,15.505104872548126,17.80119657423252
16,0.5,16.19365864176579,18.14592783888255
17,0.5,15.861041766065574,17.974975174830643
18,0.5,16.084468251540656,18.07288284636521
19,0.5,16.004148440923174,17.93329136818507
20,0.5,15.96603064735603,17.886844415969325
21,0.5,16.205166911859603,17.99058083623224
22,0.5,15.757382924867889,17.75133068460437
23,0.5,16.45406320625575,18.047247449339107
24,0.5,16.202339752538748,17.96045814369177
25,0.5,16.361485716853412,18.08864216867592
26,0.5,16.3187704079927,18.100265933235708
27,0.5,15.590313993024605,17.724364862853875
28,0.5,14.99087864568339,17.51046003045015
29,0.5,15.413260995600151,17.761236160855955
30,0.5,16.77825979831656,18.08700121589102
31,0.5,16.35779878638383,18.119347712595207
32,0.5,16.86492272610779,18.052795718809058
33,0.5,16.95862266212037,17.81234090705446
34,0.5,17.06481459080058,17.988031504469877
35,0.5,16.426164433674334,17.86629805842432
36,0.5,16.337222283673825,18.075639697090264
37,0.5,16.371542292630046,18.23729036490305
38,0.5,16.246182441285264,18.183192462584444
39,0.5,16.049551308712424,18.104023151345245
40,0.5,16.521203256844416,18.193293308197894
41,0.5,16.352798134506273,18.082907073561916
42,0.5,16.44828074332228,18.20244174957016
43,0.5,16.569129720357445,18.165577743836064
44,0.5,16.39215268529126,18.069890590477144
45,0.5,16.355017737431147,18.203083878059694
46,0.5,15.746913318292524,17.94251966041581
47,0.5,12.19110557299124,16.766911564289792
