t,dt_h,P_req_MW,P_dc_MW,P_c_MW,SOC,DG1_P_MW,DG1_ON,DG1_Start,DG1_FC_kgh,DG2_P_MW,DG2_ON,DG2_Start,DG2_FC_kgh,DG3_P_MW,DG3_ON,DG3_Start,DG3_FC_kgh,DG4_P_MW,DG4_ON,DG4_Start,DG4_FC_kgh,ESS_N1_reserve_MW,N1_largest_output_MW,N1_min_margin_MW
0,0.5,14.385555211027285,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,1,1801.6537392,2.1,1,1,419.96600625,2.2055552109999996,1,1,437.9148230638696,5.0,10.08,7.414444788999999
1,0.5,15.597860100753524,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4178601008,1,0,644.0575438583815,5.0,10.08,6.2021398992000005
2,0.5,15.39275329003239,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.2127532899999998,1,0,609.1807761512309,5.0,10.08,6.407246710000001
3,0.5,14.930049781872542,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.750049781899999,1,0,530.5017566377195,5.0,10.08,6.8699502181
4,0.5,15.399864049880547,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.2198640498999995,1,0,610.3899038261546,5.0,10.08,6.400135950099999
5,0.5,14.98161494662443,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,2.8016149466000004,1,0,539.269999213421,5.0,10.08,6.818385053399998
6,0.5,15.535401092240301,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3554010922000006,1,0,633.436890523348,5.0,10.08,6.264598907799998
7,0.5,15.582061438217425,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.4020614382,1,0,641.371108028022,5.0,10.08,6.217938561800002
8,0.5,19.941719031160243,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,5.88,1,0,1062.7246812,3.9817190312000017,1,0,739.9372314146325,5.0,10.08,1.858280968799999
9,0.5,15.5743267927859,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.3943267928000007,1,0,640.0558936289449,5.0,10.08,6.225673207200002
10,0.5,16.307082607264462,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.1270826073,1,0,764.655141351148,5.0,10.08,5.492917392700001
11,0.5,16.303810858705003,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.123810858700001,1,0,764.0988067493213,5.0,10.08,5.4961891413
12,0.5,16.68330162573084,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,4.503301625700001,1,0,828.628167212993,5.0,10.08,5.1166983743
13,0.5,16.03435101792533,0.0,0.0,0.7,0.0,0,0,0.0,10.08,1,0,1801.6537392,2.1,1,0,419.96600625,3.8543510179000005,1,0,718.279322562854,5.0,10.08,5.7656489821
