speed_kts,P_prop_MW,BHP_kW,BHP_kW_raw,PD_kW,PS_metric_hp,total_resistance_kN,RPM,eta_D,clipped
12,3.795843104320899,3795.8431043208993,3795.8431043208993,3719.9262422344814,5160.910340528654,426.785104821194,53.4,0.6087048045976476,False
13,4.77239197757102,4772.39197757102,4772.39197757102,4676.944138019599,6488.647298953289,495.76706204805805,57.85,0.6063898900336981,False
14,5.914250736855466,5914.250736855466,5914.250736855466,5795.965722118357,8041.143151984237,570.8451021969937,62.3,0.6047901214752504,False
15,7.247178088219277,7247.178088219277,7247.178088219277,7102.234526454891,9853.419993194111,653.0050994211529,66.75,0.6040538633645101,False
16,8.80371780841374,8803.71780841374,8803.71780841374,8627.643452245464,11969.725044962674,743.5024183358975,71.2,0.604308987596212,False
17,10.623943625959676,10623.943625959675,10623.943625959675,10411.464753440481,14444.5434148728,843.8303306995628,75.65,0.6056446764360511,False
18,12.75529052556405,12755.290525564049,12755.290525564049,12500.184715052768,17342.36873354856,955.6271648380508,80.10000000000001,0.6081034503747474,False
19,15.253686624784217,15253.686624784217,15253.686624784217,14948.612892288533,20739.242078636053,1080.7009658334564,84.55,0.611681617842376,False
20,18.192654122482246,18192.654122482247,18192.654122482247,17828.801040032602,24735.125821059857,1221.5115027520899,89.0,0.6164425244068542,False
21,21.623320666050525,21623.320666050524,21623.320666050524,21190.854252729514,29399.53421545655,1378.7020542899909,93.45,0.6220425637246788,False
22,21.7,21700.0,25559.521875474693,21266.0,29503.789095494725,1550.7404901579569,97.89999999999999,0.6278846931963242,True
23,21.7,21700.0,30137.218927865844,21266.0,29503.789095494725,1742.624074444196,102.35,0.6344695724291467,True
24,21.7,21700.0,35726.7656057986,21266.0,29503.789095494725,1969.730928153404,106.8,0.6432874778811204,True
